Unnamed: 0,channelId,channelTitle,videoId,publishedAt,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,definition,caption,viewCount,likeCount,dislikeCount,commentCount,videoCategoryLabel_encoded
0,34,31,83,26,79,80,29,4,11,4780,0,False,1512,8.0,0.0,1.0,4
1,27,54,60,43,17,19,22,5,10,4354,1,False,881,14.0,0.0,3.0,5
2,50,39,20,98,0,5,22,5,69,3040,1,False,67,0.0,1.0,3.0,5
3,49,2,59,72,54,63,24,1,48,1941,0,False,4,0.0,0.0,0.0,1
4,16,15,28,33,18,79,24,1,33,1592,0,False,5465,121.0,6.0,25.0,1
5,69,37,39,58,62,36,24,1,31,1507,0,False,12092,136.0,2.0,41.0,1
6,33,19,89,101,89,64,22,5,9,975,0,False,793,28.0,0.0,3.0,5
7,58,4,5,97,27,86,25,3,8,820,0,False,108974,4329.0,990.0,3672.0,3
8,2,64,52,103,27,87,22,5,7,812,0,False,2,0.0,0.0,0.0,5
9,59,40,40,55,57,33,28,6,6,805,0,False,526243,7046.0,255.0,1706.0,6
10,39,62,58,65,60,34,27,0,5,752,0,False,8869,298.0,1.0,80.0,0
11,32,46,47,29,63,58,22,5,2,641,0,False,87,1.0,0.0,0.0,5
12,62,57,30,7,8,6,22,5,1,617,1,False,4710,2.0,0.0,1.0,5
13,37,35,13,68,56,17,24,1,0,614,1,False,3930,63.0,8.0,59.0,1
14,62,57,67,5,21,6,22,5,91,596,1,False,2250,3.0,0.0,0.0,5
15,36,23,18,14,47,75,28,6,90,581,1,False,193,1.0,2.0,0.0,6
16,57,7,104,18,20,22,28,6,90,581,1,False,14,0.0,0.0,0.0,6
17,57,7,99,19,52,21,28,6,90,581,1,False,30,0.0,0.0,0.0,6
18,47,22,14,37,52,23,29,4,90,581,1,False,49,0.0,0.0,0.0,4
19,7,68,3,81,55,25,29,4,89,569,0,False,923,16.0,1.0,11.0,4
20,26,27,1,82,19,35,22,5,92,547,0,False,609,11.0,0.0,18.0,5
21,45,32,21,96,92,83,10,2,88,533,0,False,90,6.0,0.0,1.0,2
22,6,50,84,84,33,82,24,1,87,511,0,False,2322,142.0,2.0,61.0,1
23,53,45,9,41,1,10,25,3,85,504,0,False,28167,868.0,26.0,338.0,3
24,23,59,85,42,65,59,22,5,85,504,0,False,86,0.0,0.0,0.0,5
25,29,14,96,67,3,37,22,5,85,504,1,False,247,3.0,0.0,3.0,5
26,44,41,77,77,51,72,22,5,84,493,0,False,447,14.0,1.0,4.0,5
27,0,61,92,34,11,38,22,5,83,491,0,False,18908,200.0,7.0,80.0,5
28,10,16,25,56,37,74,10,2,86,482,1,False,160,3.0,0.0,0.0,2
29,59,40,6,75,36,84,24,1,82,465,0,False,148681,3698.0,49.0,1212.0,1
30,6,50,50,57,34,50,24,1,81,458,0,False,59255,870.0,35.0,523.0,1
31,39,62,73,62,58,47,27,0,80,452,0,False,5838,113.0,0.0,26.0,0
32,24,10,45,8,94,60,28,6,79,446,1,False,3299,1.0,1.0,0.0,6
33,39,62,70,60,59,65,27,0,78,444,0,False,35928,323.0,12.0,178.0,0
34,4,12,10,4,81,3,28,6,77,440,1,False,181,0.0,0.0,0.0,6
35,24,10,54,9,95,26,28,6,76,434,1,False,3133,3.0,2.0,0.0,6
37,68,51,2,44,93,2,25,3,75,369,0,False,27571,358.0,134.0,349.0,3
38,6,50,74,100,32,49,22,5,73,345,0,False,1770,100.0,1.0,49.0,5
40,22,60,23,90,43,67,22,5,72,313,0,False,132,2.0,0.0,2.0,5
41,66,52,32,63,26,61,25,3,74,305,0,False,1420,16.0,8.0,7.0,3
42,47,22,72,50,5,4,29,4,68,298,0,False,86,0.0,0.0,0.0,4
43,71,70,65,95,52,11,22,5,67,296,0,False,905,44.0,1.0,14.0,5
44,38,53,98,59,61,48,27,0,66,295,0,False,611,7.0,0.0,3.0,0
45,54,29,68,93,10,45,22,5,65,283,0,False,130,2.0,1.0,1.0,5
46,60,30,0,30,29,40,28,6,64,280,1,False,1577,5.0,0.0,2.0,6
47,30,26,12,31,48,73,28,6,64,280,0,False,368,1.0,0.0,0.0,6
49,47,22,57,1,75,9,28,6,63,273,1,False,2493,5.0,0.0,3.0,6
51,42,43,66,79,49,15,22,5,57,231,0,False,109,0.0,1.0,0.0,5
53,13,8,62,99,46,62,25,3,56,229,0,True,200,5.0,0.0,0.0,3
54,20,49,31,80,88,32,22,5,55,225,0,False,370,28.0,1.0,41.0,5
55,25,42,48,25,45,91,22,5,55,225,0,False,90,1.0,0.0,0.0,5
56,64,24,41,76,35,7,22,5,54,224,0,False,256,6.0,1.0,1.0,5
57,62,57,35,6,7,6,22,5,53,220,1,False,494,0.0,0.0,0.0,5
58,61,48,81,20,52,70,28,6,51,201,0,False,2209,5.0,1.0,0.0,6
60,47,22,42,47,67,28,29,4,50,194,0,False,23,0.0,0.0,0.0,4
62,52,34,33,3,77,66,28,6,52,182,1,False,259,0.0,0.0,0.0,6
63,42,43,34,51,91,77,22,5,47,174,0,False,31,0.0,0.0,0.0,5
64,46,55,94,91,80,39,27,0,46,173,0,False,263,12.0,0.0,0.0,0
65,48,25,103,39,2,20,27,0,45,172,0,False,38,0.0,0.0,0.0,0
66,47,22,90,40,53,1,29,4,44,167,1,False,89,0.0,0.0,0.0,4
67,14,1,15,0,52,46,25,3,44,167,1,False,467,0.0,0.0,0.0,3
68,63,17,7,69,64,24,22,5,43,163,1,False,258,2.0,0.0,3.0,5
70,60,30,26,61,66,91,28,6,42,152,0,False,565,0.0,0.0,0.0,6
71,67,28,69,13,28,76,22,5,41,147,0,False,458,0.0,0.0,0.0,5
72,47,22,61,48,70,53,29,4,40,146,0,False,15,0.0,0.0,0.0,4
74,17,33,17,102,24,91,22,5,39,141,0,False,3,0.0,0.0,0.0,5
75,20,49,53,83,84,78,22,5,38,138,0,False,1196,31.0,1.0,27.0,5
76,43,9,38,38,25,91,28,6,37,136,0,False,1030,4.0,1.0,0.0,6
77,20,49,79,85,87,8,22,5,36,134,0,False,759,27.0,0.0,27.0,5
78,31,65,8,16,30,41,28,6,35,133,1,False,806,0.0,0.0,0.0,6
79,20,49,95,88,86,13,22,5,28,116,0,False,243,8.0,0.0,9.0,5
80,18,63,55,94,9,91,22,5,27,115,1,False,39,1.0,0.0,0.0,5
81,12,67,11,28,23,30,28,6,26,110,0,False,263,2.0,0.0,0.0,6
82,56,58,76,12,76,90,22,5,25,104,1,False,691,0.0,0.0,0.0,5
83,65,0,36,11,31,42,28,6,24,103,0,False,547,2.0,0.0,2.0,6
84,47,22,64,46,69,52,29,4,22,96,0,False,24,0.0,0.0,0.0,4
85,20,49,87,87,83,27,22,5,22,96,0,False,569,20.0,0.0,12.0,5
86,8,20,75,24,16,31,22,5,21,94,0,False,267,1.0,0.0,0.0,5
87,47,22,93,49,71,54,29,4,20,84,0,False,9,0.0,0.0,0.0,4
88,15,44,4,64,74,57,24,1,18,76,0,False,78,0.0,0.0,0.0,1
89,3,36,100,73,40,44,28,6,17,75,0,False,197,0.0,0.0,0.0,6
90,70,13,46,53,97,16,22,5,17,75,1,False,16,0.0,0.0,0.0,5
91,55,21,19,21,14,95,28,6,16,74,0,False,1111,6.0,0.0,3.0,6
92,8,20,82,23,15,18,22,5,15,73,0,False,430,2.0,0.0,0.0,5
93,70,13,102,53,96,16,22,5,14,72,1,False,10,0.0,0.0,0.0,5
94,35,6,80,10,99,68,28,6,13,71,1,False,242,0.0,0.0,0.0,6
95,21,47,16,52,73,56,22,5,30,68,1,False,12,0.0,0.0,0.0,5
96,3,36,51,71,39,94,28,6,29,66,0,False,335,0.0,0.0,1.0,6
97,3,36,88,70,38,93,28,6,23,63,0,False,356,1.0,0.0,0.0,6
98,3,36,101,74,42,43,28,6,23,63,0,False,209,0.0,0.0,0.0,6
99,9,69,97,2,22,91,22,5,19,61,1,False,195,0.0,0.0,0.0,5
100,11,11,22,27,72,55,28,6,71,55,0,False,343,0.0,0.0,0.0,6
101,28,5,37,22,44,12,22,5,71,55,0,False,509,0.0,0.0,0.0,5
102,5,56,78,66,12,92,22,5,70,54,0,False,127,1.0,0.0,9.0,5
103,3,36,86,78,41,89,28,6,62,48,0,False,298,0.0,0.0,1.0,6
104,28,5,56,35,50,69,22,5,61,46,0,False,209,0.0,0.0,1.0,5
105,40,71,44,17,4,0,27,0,60,43,1,False,218,0.0,0.0,0.0,0
106,47,22,24,45,68,51,29,4,59,42,0,False,16,0.0,0.0,0.0,4
107,3,36,49,36,98,88,22,5,58,40,1,False,913,2.0,0.0,1.0,5
108,41,66,43,15,82,81,22,5,49,36,0,False,469,2.0,0.0,0.0,5
109,20,49,29,86,85,29,22,5,34,27,0,False,650,28.0,1.0,20.0,5
110,51,3,71,89,90,71,24,1,32,26,0,False,304,6.0,0.0,22.0,1
112,55,21,91,32,6,96,28,6,4,11,0,False,463,0.0,0.0,0.0,6
113,1,38,63,92,78,85,24,1,3,11,1,False,341,11.0,1.0,10.0,1
114,19,18,27,54,13,14,27,0,12,1,0,False,345,4.0,0.0,0.0,0
